iter	Passed	Remaining
986	9679	127
987	9689	117
988	9698	107
989	9708	98
990	9717	88
991	9728	78
992	9738	68
993	9748	58
994	9758	49
995	9769	39
996	9779	29
997	9789	19
998	9798	9
999	9807	0
